id,dex_number,region,slug,description,credit,enabled,catchable,abundance,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
12,12,kanto,butterfree,"Once it has opponents trapped in a tornado that
could blow away a 10-ton truck, it finishes them
off with its poisonous scales.",,1,1,96,バタフリー,Batafurī,Butterfree,Butterfree,,Smettbo,Papilusion,Bug,Flying,,,,,11,320,,11,60,45,50,90,80,70,,,,,
13,13,kanto,weedle,"Beware of the sharp stinger on its head. It hides
in grass and bushes where it eats leaves.",,1,1,1536,ビードル,Bīdoru,Beedle,Weedle,,Hornliu,Aspicot,Bug,Poison,,,,,3,32,14,,40,35,30,20,20,50,,,,,
14,14,kanto,kakuna,"Able to move only slightly. When endangered, it
may stick out its stinger and poison its enemy.",,1,1,384,コクーン,Kokūn,Cocoon,Kakuna,,Kokuna,Coconfort,Bug,Poison,,,,,6,100,15,13,45,25,50,25,25,35,,,,,
15,15,kanto,beedrill,"Its legs have become poison stingers. It stabs its
prey repeatedly with the stingers on its limbs,
dealing the final blow with the stinger on its rear.",,1,1,96,スピアー,Supiā,Spear,Beedrill,,Bibor,Dardargnan,Bug,Poison,,,,,10,295,,14,65,90,40,45,80,75,10090,,,,
16,16,kanto,pidgey,"Very docile. If attacked, it will often kick up
sand to protect itself rather than fight back.",,1,1,1536,ポッポ,Poppo,Poppo,Pidgey,,Taubsi,Roucool,Normal,Flying,,,,,3,18,17,,40,45,40,35,35,56,,,,,
17,17,kanto,pidgeotto,"This Pokémon is full of vitality. It constantly flies
around its large territory in search of prey.",,1,3,384,ピジョン,Pijon,Pigeon,Pidgeotto,,Tauboga,Roucoups,Normal,Flying,,,,,11,300,18,16,63,60,55,50,50,71,,,,,
18,18,kanto,pidgeot,"With its muscular strength now greatly
increased, it can fly continuously for two weeks
without resting.",,1,3,96,ピジョット,Pijotto,Pigeot,Pidgeot,,Tauboss,Roucarnage,Normal,Flying,,,,,15,395,,17,83,80,75,70,70,101,10073,,,,
19,19,kanto,rattata,"Will chew on anything with its fangs. If you
see one, you can be certain that 40 more
live in the area.",,1,1,1024,コラッタ,Koratta,Koratta,Rattata,,Rattfratz,Rattata,Normal,,,,,,3,35,20,,30,56,35,25,35,72,,,,,
20,20,kanto,raticate,"Its hind feet are webbed. They act as flippers,
so it can swim in rivers and hunt for prey.",,1,1,256,ラッタ,Ratta,Ratta,Raticate,,Rattikarl,Rattatac,Normal,,,,,,7,185,,19,55,81,60,50,70,97,,,,,
21,21,kanto,spearow,"Inept at flying high. However, it can fly around
very fast to protect its territory.",,1,2,384,オニスズメ,Onisuzume,Onisuzume,Spearow,,Habitak,Piafabec,Normal,Flying,,,,,3,20,22,,40,60,30,31,31,70,,,,,
22,22,kanto,fearow,"A Pokémon that dates back many years. If it
senses danger, it flies high and away, instantly.",,1,3,96,オニドリル,Onidoriru,Onidrill,Fearow,,Ibitak,Rapasdepic,Normal,Flying,,,,,12,380,,21,65,90,65,61,61,100,,,,,
23,23,kanto,ekans,"The older it gets, the longer it grows. At night, it
wraps its long body around tree branches to rest.",,1,2,384,アーボ,Ābo,Arbo,Ekans,,Rettan,Abo,Poison,,,,,,20,69,24,,35,60,44,40,54,55,,,,,
24,24,kanto,arbok,"The frightening patterns on its belly have been
studied. Six variations have been confirmed.",,1,2,96,アーボック,Ābokku,Arbok,Arbok,,Arbok,Arbok,Poison,,,,,,35,650,,23,60,95,69,65,79,80,,,,,
25,25,kanto,pikachu,"When it smashes its opponents with its bolt-
shaped tail, it delivers a surge of electricity
equivalent to a lightning strike.",,1,1,384,ピカチュウ,Pikachū,Pikachu,Pikachu,,Pikachu,Pikachu,Electric,,,,,,4,60,26,172,35,55,40,50,50,90,,,,,
26,26,kanto,raichu,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere.",,1,1,96,ライチュウ,Raichū,Raichu,Raichu,,Raichu,Raichu,Electric,,,,,,8,300,,25,60,90,55,90,80,110,,,,,
27,27,kanto,sandshrew,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",,1,2,384,サンド,Sando,Sand,Sandshrew,,Sandan,Sabelette,Ground,,,,,,6,120,28,,50,75,85,20,30,40,,,,,
28,28,kanto,sandslash,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",,1,2,96,サンドパン,Sandopan,Sandpan,Sandslash,,Sandamer,Sablaireau,Ground,,,,,,10,295,,27,75,100,110,45,55,65,,,,,
29,29,kanto,nidoran-f,"A mild-mannered Pokémon that does not like
to fight. Beware—its small horn secretes venom.",,1,1,1536,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀️,,Nidoran♀️,Nidoran♀️,Poison,,,,,,4,70,30,,55,47,52,40,40,41,,,,,
30,30,kanto,nidorina,"When resting deep in its burrow, its barbs always
retract. This is proof that it is relaxed.",,1,1,384,ニドリーナ,Nidorīna,Nidorina,Nidorina,,Nidorina,Nidorina,Poison,,,,,,8,200,31,29,70,62,67,55,55,56,,,,,
31,31,kanto,nidoqueen,"Tough scales cover the sturdy body of
this Pokémon. It appears that the scales
grow in cycles.",,1,1,96,ニドクイン,Nidokuin,Nidoqueen,Nidoqueen,,Nidoqueen,Nidoqueen,Poison,Ground,,,,,13,600,,30,90,92,87,75,85,76,,,,,
32,32,kanto,nidoran-m,"Its large ears are always kept upright. If it senses
danger, it will attack with a poisonous sting.",,1,1,1536,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂️,,Nidoran♂️,Nidoran♂️,Poison,,,,,,5,90,33,,46,57,40,40,40,50,,,,,
33,33,kanto,nidorino,"Its horn contains venom. If it stabs an
enemy with the horn, the impact makes
the poison leak out.",,1,1,384,ニドリーノ,Nidorīno,Nidorino,Nidorino,,Nidorino,Nidorino,Poison,,,,,,9,195,34,32,61,72,57,55,55,65,,,,,
34,34,kanto,nidoking,"Its steel-like hide adds to its powerful tackle.
Its horns are so hard, they can pierce a diamond.",,1,1,96,ニドキング,Nidokingu,Nidoking,Nidoking,,Nidoking,Nidoking,Poison,Ground,,,,,14,620,,33,81,102,77,85,75,85,,,,,
35,35,kanto,clefairy,"Its adorable behavior and cry make it highly popular.
However, this cute Pokémon is rarely found.",,1,1,384,ピッピ,Pippi,Pippi,Clefairy,,Piepi,Mélofée,Fairy,,,,,,6,75,36,173,70,45,48,60,65,35,,,,,
36,36,kanto,clefable,"Their ears are sensitive enough to hear a pin
drop from over a mile away, so they’re usually
found in quiet places.",,1,1,96,ピクシー,Pikushī,Pixy,Clefable,,Pixi,Mélodelfe,Fairy,,,,,,13,400,,35,95,70,73,95,90,60,,,,,
37,37,kanto,vulpix,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.",,1,1,384,ロコン,Rokon,Rokon,Vulpix,,Vulpix,Goupix,Fire,,,,,,6,99,38,,38,41,40,50,65,65,,,,,
38,38,kanto,ninetales,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",,1,1,96,キュウコン,Kyūkon,Kyukon,Ninetales,,Vulnona,Feunard,Fire,,,,,,11,199,,37,73,76,75,81,100,100,,,,,
39,39,kanto,jigglypuff,"By freely changing the wavelength of its voice,
Jigglypuff sings a mysterious melody sure to
make any listener sleepy.",,1,1,384,プリン,Purin,Purin,Jigglypuff,,Pummeluff,Rondoudou,Normal,Fairy,,,,,5,55,40,174,115,45,20,45,25,20,,,,,
40,40,kanto,wigglytuff,"It’s proud of its fur, which is fine and delicate.
In particular, the curl on its forehead has a
texture that’s perfectly heavenly.",,1,1,96,プクリン,Pukurin,Pukurin,Wigglytuff,,Knuddeluff,Grodoudou,Normal,Fairy,,,,,10,120,,39,140,70,45,85,50,45,,,,,
41,41,kanto,zubat,"Emits ultrasonic cries while it flies. They act as
a sonar used to check for objects in its way.",,1,2,1536,ズバット,Zubatto,Zubat,Zubat,,Zubat,Nosferapti,Poison,Flying,,,,,8,75,42,,40,45,35,30,40,55,,,,,
42,42,kanto,golbat,"It attacks in a stealthy manner,
without warning. Its sharp fangs
are used to bite and to suck blood.",,1,2,384,ゴルバット,Gorubatto,Golbat,Golbat,,Golbat,Nosferalto,Poison,Flying,,,,,16,550,169,41,75,80,70,65,75,90,,,,,
43,43,kanto,oddish,"During the day, it stays in the cold underground
to avoid the sun. It grows by bathing in moonlight.",,1,1,1536,ナゾノクサ,Nazonokusa,Nazonokusa,Oddish,,Myrapla,Mystherbe,Grass,Poison,,,,,5,54,44,,45,50,55,75,65,30,,,,,
44,44,kanto,gloom,"What appears to be drool is actually sweet honey.
It is very sticky and clings stubbornly if touched.",,1,1,384,クサイハナ,Kusaihana,Kusaihana,Gloom,,Duflor,Ortide,Grass,Poison,,,,,8,86,45 182,43,60,65,70,85,75,40,,,,,
45,45,kanto,vileplume,"The larger its petals, the more toxic pollen it
contains. Its big head is heavy and hard to hold up.",,1,1,96,ラフレシア,Rafureshia,Ruffresia,Vileplume,,Giflor,Rafflesia,Grass,Poison,,,,,12,186,,44,75,80,85,110,90,50,,,,,
46,46,kanto,paras,"Burrows under the ground to gnaw on
tree roots. The mushrooms on its back
absorb most of the nutrition.",,1,2,384,パラス,Parasu,Paras,Paras,,Paras,Paras,Bug,Grass,,,,,3,54,47,,35,70,55,45,55,25,,,,,
47,47,kanto,parasect,"The bug host is drained of energy by
the mushroom on its back. The mushroom
appears to do all the thinking.",,1,2,96,パラセクト,Parasekuto,Parasect,Parasect,,Parasek,Parasect,Bug,Grass,,,,,10,295,,46,60,95,80,60,80,30,,,,,
48,48,kanto,venonat,"Its large eyes act as radar. In a bright place, you
can see that they are clusters of many tiny eyes.",,1,2,384,コンパン,Konpan,Kongpang,Venonat,,Bluzuk,Mimitoss,Bug,Poison,,,,,10,300,49,,60,55,50,40,55,45,,,,,
49,49,kanto,venomoth,"The powdery scales on its wings are hard to
remove from skin. They also contain poison
that leaks out on contact.",,1,1,96,モルフォン,Morufon,Morphon,Venomoth,,Omot,Aéromite,Bug,Poison,,,,,15,125,,48,70,65,60,90,75,90,,,,,
50,50,kanto,diglett,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",,1,1,384,ディグダ,Diguda,Digda,Diglett,,Digda,Taupiqueur,Ground,,,,,,2,8,51,,10,55,25,35,45,95,,,,,
51,51,kanto,dugtrio,"These Diglett triplets dig over 60 miles below sea
level. No one knows what it’s like underground.",,1,2,96,ダグトリオ,Dagutorio,Dugtrio,Dugtrio,,Digdri,Triopikeur,Ground,,,,,,7,333,,50,35,100,50,50,70,120,,,,,
52,52,kanto,meowth,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,,1,1,384,ニャース,Nyāsu,Nyarth,Meowth,,Mauzi,Miaouss,Normal,,,,,,4,42,53,,40,45,35,40,40,90,,,,,
53,53,kanto,persian,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,,1,1,96,ペルシアン,Perushian,Persian,Persian,,Snobilikat,Persian,Normal,,,,,,10,320,,52,65,70,60,65,65,115,,,,,
54,54,kanto,psyduck,"As Psyduck gets stressed out, its headache gets
progressively worse. It uses intense psychic
energy to overwhelm those around it.",,1,1,384,コダック,Kodakku,Koduck,Psyduck,,Enton,Psykokwak,Water,,,,,,8,196,55,,50,52,48,65,50,55,,,,,
55,55,kanto,golduck,"Old tales tell of Golduck punishing those that
defiled its river. The guilty were dragged into
the water and taken away.",,1,1,96,ゴルダック,Gorudakku,Golduck,Golduck,,Entoron,Akwakwak,Water,,,,,,17,766,,54,80,82,78,95,80,85,,,,,
56,56,kanto,mankey,"An agile Pokémon that lives in trees. It angers
easily and will not hesitate to attack anything.",,1,2,384,マンキー,Mankī,Mankey,Mankey,,Menki,Férosinge,Fighting,,,,,,5,280,57,,40,80,35,35,45,70,,,,,
57,57,kanto,primeape,"It stops being angry only when nobody else
is around. To view this moment is very difficult.",,1,2,96,オコリザル,Okorizaru,Okorizaru,Primeape,,Rasaff,Colossinge,Fighting,,,,,,10,320,,56,65,105,60,60,70,95,,,,,
58,58,kanto,growlithe,"Extremely loyal, it will fearlessly bark at any
opponent to protect its own Trainer from harm.",,1,2,384,ガーディ,Gādi,Gardie,Growlithe,,Fukano,Caninos,Fire,,,,,,7,190,59,,55,70,45,70,50,60,,,,,
59,59,kanto,arcanine,"A Pokémon that has long been admired for its
beauty. It runs agilely as if on wings.",,1,2,96,ウインディ,Uindi,Windie,Arcanine,,Arkani,Arcanin,Fire,,,,,,19,1550,,58,90,110,80,100,80,95,,,,,
60,60,kanto,poliwag,"In rivers with fast-flowing water, this Pokémon will
cling to a rock by using its thick lips, which act
like a suction cup.",,1,1,1536,ニョロモ,Nyoromo,Nyoromo,Poliwag,,Quapsel,Ptitard,Water,,,,,,6,124,61,,40,50,40,40,40,90,,,,,
61,61,kanto,poliwhirl,"This Pokémon’s sweat is a slimy mucus. When
captured, Poliwhirl can slither from its enemies’
grasp and escape.",,1,1,384,ニョロゾ,Nyorozo,Nyorozo,Poliwhirl,,Quaputzi,Têtarte,Water,,,,,,10,200,62 186,60,65,65,65,50,50,90,,,,,
62,62,kanto,poliwrath,"Poliwrath is skilled at both swimming and martial
arts. It uses its well-trained arms to dish out
powerful punches.",,1,1,96,ニョロボン,Nyorobon,Nyorobon,Poliwrath,,Quappo,Tartard,Water,Fighting,,,,,13,540,,61,90,95,95,70,90,70,,,,,
63,63,kanto,abra,"Abra can teleport in its sleep. Apparently
the more deeply Abra sleeps, the farther its
teleportations go.",,1,2,1536,ケーシィ,Kēshī,Casey,Abra,,Abra,Abra,Psychic,,,,,,9,195,64,,25,20,15,105,55,90,,,,,
64,64,kanto,kadabra,"This Pokémon’s telekinesis is immensely powerful.
To prepare for evolution, Kadabra stores up
psychic energy in the star on its forehead.",,1,2,384,ユンゲラー,Yungerā,Yungerer,Kadabra,,Kadabra,Kadabra,Psychic,,,,,,13,565,65,63,40,35,30,120,70,105,,,,,
65,65,kanto,alakazam,"Alakazam wields potent psychic powers. It’s said
that this Pokémon used these powers to create
the spoons it holds.",,1,2,96,フーディン,Fūdin,Foodin,Alakazam,,Simsala,Alakazam,Psychic,,,,,,15,480,,64,55,50,45,135,95,120,10037,,,,
66,66,kanto,machop,"Always brimming with power, it passes time by
lifting boulders. Doing so makes it even stronger.",,1,1,1536,ワンリキー,Wanrikī,Wanriky,Machop,,Machollo,Machoc,Fighting,,,,,,8,195,67,,70,80,50,35,35,35,,,,,
67,67,kanto,machoke,"Its formidable body never gets tired. It helps
people by doing work such as the moving of
heavy goods.",,1,2,384,ゴーリキー,Gōrikī,Goriky,Machoke,,Maschock,Machopeur,Fighting,,,,,,15,705,68,66,80,100,70,50,60,45,,,,,
68,68,kanto,machamp,"With four arms that react more quickly than it
can think, it can execute many punches at once.",,1,2,96,カイリキー,Kairikī,Kairiky,Machamp,,Machomei,Mackogneur,Fighting,,,,,,16,1300,,67,90,130,80,65,85,55,,,,,
69,69,kanto,bellsprout,"Prefers hot and humid places. It ensnares
tiny bugs with its vines and devours them.",,1,1,1536,マダツボミ,Madatsubomi,Madatsubomi,Bellsprout,,Knofensa,Chétiflor,Grass,Poison,,,,,7,40,70,,50,75,35,70,30,40,,,,,
70,70,kanto,weepinbell,"When hungry, it swallows anything that moves.
Its hapless prey is dissolved by strong acids.",,1,1,384,ウツドン,Utsudon,Utsudon,Weepinbell,,Ultrigaria,Boustiflor,Grass,Poison,,,,,10,64,71,69,65,90,50,85,45,55,,,,,
71,71,kanto,victreebel,"Lures prey with the sweet aroma of honey.
Swallowed whole, the prey is dissolved in a day,
bones and all.",,1,1,96,ウツボット,Utsubotto,Utsubot,Victreebel,,Sarzenia,Empiflor,Grass,Poison,,,,,17,155,,70,80,105,65,100,70,70,,,,,
72,72,kanto,tentacool,"This Pokémon is mostly made of water.
A Tentacool out in the ocean is very hard to
spot, because its body blends in with the sea.",,1,1,384,メノクラゲ,Menokurage,Menokurage,Tentacool,,Tentacha,Tentacool,Water,Poison,,,,,9,455,73,,40,40,35,50,100,70,,,,,
73,73,kanto,tentacruel,"Its 80 tentacles can stretch and shrink freely.
Tentacruel ensnares prey in a net of spread-out
tentacles, delivering venomous stings to its catch.",,1,1,96,ドククラゲ,Dokukurage,Dokukurage,Tentacruel,,Tentoxa,Tentacruel,Water,Poison,,,,,16,550,,72,80,70,65,80,120,100,,,,,
74,74,kanto,geodude,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",,1,2,1536,イシツブテ,Ishitsubute,Isitsubute,Geodude,,Kleinstein,Racaillou,Rock,Ground,,,,,4,200,75,,40,80,100,30,30,20,,,,,
75,75,kanto,graveler,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",,1,2,384,ゴローン,Gorōn,Golone,Graveler,,Georok,Gravalanch,Rock,Ground,,,,,10,1050,76,74,55,95,115,45,45,35,,,,,
76,76,kanto,golem,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",,1,2,96,ゴローニャ,Gorōnya,Golonya,Golem,,Geowaz,Grolem,Rock,Ground,,,,,14,3000,,75,80,120,130,55,65,45,,,,,
77,77,kanto,ponyta,"If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.",,1,1,384,ポニータ,Ponīta,Ponyta,Ponyta,,Ponita,Ponyta,Fire,,,,,,10,300,78,,50,85,55,65,65,90,,,,,
78,78,kanto,rapidash,"The fastest runner becomes the leader, and it
decides the herd’s pace and direction of travel.",,1,1,96,ギャロップ,Gyaroppu,Gallop,Rapidash,,Gallopa,Galopa,Fire,,,,,,17,950,,77,65,100,70,80,80,105,,,,,
79,79,kanto,slowpoke,"When this Pokémon’s tail is soaked in water,
sweetness seeps from it. Slowpoke uses this trait
to lure in and fish up other Pokémon.",,1,1,384,ヤドン,Yadon,Yadon,Slowpoke,,Flegmon,Ramoloss,Water,Psychic,,,,,12,360,80 199,,90,65,65,40,40,15,,,,,
80,80,kanto,slowbro,"Being bitten by a Shellder shocked this Pokémon into standing on two legs. If the Shellder lets go, it seems Slowbro will turn back into a Slowpoke.",,1,1,96,ヤドラン,Yadoran,Yadoran,Slowbro,,Lahmus,Flagadoss,Water,Psychic,,,,,16,785,,79,95,75,110,100,80,30,10071,,,,
81,81,kanto,magnemite,"It subsists on electricity. As Magnemite flies, it
emits electromagnetic waves from the units on
each side of its body.",,1,1,1536,コイル,Koiru,Coil,Magnemite,,Magnetilo,Magnéti,Electric,Steel,,,,,3,60,82,,25,35,70,95,55,45,,,,,
82,82,kanto,magneton,"This Pokémon is constantly putting out a powerful
magnetic force. Most computers go haywire when
a Magneton approaches.",,1,1,384,レアコイル,Reakoiru,Rarecoil,Magneton,,Magneton,Magnéton,Electric,Steel,,,,,10,600,462,81,50,60,95,120,70,70,,,,,
83,83,kanto,farfetchd,"They use a plant stalk as a weapon, but not all
of them use it in the same way. Several distinct
styles of stalk fighting have been observed.",,1,1,96,カモネギ,Kamonegi,Kamonegi,Farfetch'd,,Porenta,Canarticho,Normal,Flying,,,,,8,150,,,52,90,55,58,62,60,,,,,
84,84,kanto,doduo,"Its short wings make flying difficult. Instead, this
Pokémon runs at high speed on developed legs.",,1,1,384,ドードー,Dōdō,Dodo,Doduo,,Dodu,Doduo,Normal,Flying,,,,,14,392,85,,35,85,45,35,35,75,,,,,
85,85,kanto,dodrio,"One of Doduo’s two heads splits to form
a unique species. It runs close to 40 mph
in prairies.",,1,1,96,ドードリオ,Dōdorio,Dodorio,Dodrio,,Dodri,Dodrio,Normal,Flying,,,,,18,852,,84,60,110,70,60,60,110,,,,,
86,86,kanto,seel,"Loves freezing-cold conditions.
Relishes swimming in a frigid climate
of around 14 degrees Fahrenheit.",,1,1,384,パウワウ,Pauwau,Pawou,Seel,,Jurob,Otaria,Water,,,,,,11,900,87,,65,45,55,45,70,45,,,,,
87,87,kanto,dewgong,"Its entire body is a snowy white. Unharmed by
even intense cold, it swims powerfully
in icy waters.",,1,1,96,ジュゴン,Jugon,Jugon,Dewgong,,Jugong,Lamantine,Water,Ice,,,,,17,1200,,86,90,70,80,70,95,70,,,,,
88,88,kanto,grimer,"Made of congealed sludge. It smells too putrid
to touch. Even weeds won’t grow in its path.",,1,2,384,ベトベター,Betobetā,Betbeter,Grimer,,Sleima,Tadmorv,Poison,,,,,,9,300,89,,80,80,50,40,50,25,,,,,
89,89,kanto,muk,"Smells so awful, it can cause fainting.
Through degeneration of its nose,
it lost its sense of smell.",,1,2,96,ベトベトン,Betobeton,Betbeton,Muk,,Sleimok,Grotadmorv,Poison,,,,,,12,300,,88,105,105,75,65,100,50,,,,,
90,90,kanto,shellder,"Its hard shell repels any kind of attack. It is
vulnerable only when its shell is open.",,1,2,384,シェルダー,Sherudā,Shellder,Shellder,,Muschas,Kokiyas,Water,,,,,,3,40,91,,30,65,100,45,25,40,,,,,
91,91,kanto,cloyster,"Once it slams its shell shut, it is impossible to
open, even by those with superior strength.",,1,2,96,パルシェン,Parushen,Parshen,Cloyster,,Austos,Crustabri,Water,Ice,,,,,15,1325,,90,50,95,180,85,45,70,,,,,
92,92,kanto,gastly,"With its gas-like body, it can sneak into any place
it desires. However, it can be blown away by wind.",,1,2,1536,ゴース,Gōsu,Ghos,Gastly,,Nebulak,Fantominus,Ghost,Poison,,,,,13,1,93,,30,35,30,100,35,80,,,,,
93,93,kanto,haunter,"If you get the feeling of being watched in darkness
when nobody is around, Haunter is there.",,1,2,384,ゴースト,Gōsuto,Ghost,Haunter,,Alpollo,Spectrum,Ghost,Poison,,,,,16,1,94,92,45,50,45,115,55,95,,,,,
94,94,kanto,gengar,"It lays traps, hoping to steal the lives of those it
catches. If you stand in front of its mouth, you’ll
hear your loved ones’ voices calling out to you.",,1,2,96,ゲンガー,Gengā,Gangar,Gengar,,Gengar,Ectoplasma,Ghost,Poison,,,,,15,405,,93,60,65,60,130,75,110,10038,,,,
95,95,kanto,onix,"It rapidly bores through the ground at 50 mph by
squirming and twisting its massive, rugged body.",,1,2,384,イワーク,Iwāku,Iwark,Onix,,Onix,Onix,Rock,Ground,,,,,88,2100,208,,35,45,160,30,45,70,,,,,
96,96,kanto,drowzee,"If you sleep by it all the time, it will sometimes
show you dreams it had eaten in the past.",,1,2,384,スリープ,Surīpu,Sleepe,Drowzee,,Traumato,Soporifik,Psychic,,,,,,10,324,97,,60,48,45,43,90,42,,,,,
97,97,kanto,hypno,"Avoid eye contact if you come across one. It will
try to put you to sleep by using its pendulum.",,1,2,96,スリーパー,Surīpā,Sleeper,Hypno,,Hypno,Hypnomade,Psychic,,,,,,16,756,,96,85,73,70,73,115,67,,,,,
98,98,kanto,krabby,"If it senses danger approaching, it cloaks itself
with bubbles from its mouth so it will look bigger.",,1,2,384,クラブ,Kurabu,Crab,Krabby,,Krabby,Krabby,Water,,,,,,4,65,99,,30,105,90,25,25,50,,,,,
99,99,kanto,kingler,"The bubbles it spews out are strongly alkaline.
Any opponents hit by them will have their bodies
quickly melted away.",,1,2,96,キングラー,Kingurā,Kingler,Kingler,,Kingler,Krabboss,Water,,,,,,13,600,,98,55,130,115,50,50,75,,,,,
100,100,kanto,voltorb,"It is said to camouflage itself as a Poké Ball.
It will self-destruct with very little stimulus.",,1,1,384,ビリリダマ,Biriridama,Biriridama,Voltorb,,Voltobal,Voltorbe,Electric,,,,,,5,104,101,,40,30,50,55,55,100,,,,,
101,101,kanto,electrode,"Stores electrical energy inside its body. Even the
slightest shock could trigger a huge explosion.",,1,1,96,マルマイン,Marumain,Marumine,Electrode,,Lektrobal,Électrode,Electric,,,,,,12,666,,100,60,50,70,80,80,150,,,,,
102,102,kanto,exeggcute,"These Pokémon get nervous when they’re not in a
group of six. The minute even one member of the
group goes missing, Exeggcute become cowardly.",,1,1,384,タマタマ,Tamatama,Tamatama,Exeggcute,,Owei,Noeunoeuf,Grass,Psychic,,,,,4,25,103,,60,40,80,60,45,40,,,,,
103,103,kanto,exeggutor,"When they work together, Exeggutor’s three
heads can put out powerful psychic energy.
Cloudy days make this Pokémon sluggish.",,1,1,96,ナッシー,Nasshī,Nassy,Exeggutor,,Kokowei,Noadkoko,Grass,Psychic,,,,,20,1200,,102,95,95,85,125,75,55,,,,,
